"year","period","geo_level","state_ansi","commodity_id","domain","value"
"2022","YEAR","STATE","6","4","TOTAL","""377"
"2022","YEAR","STATE","36","4","TOTAL","""793"
"2021","YEAR","STATE","6","4","TOTAL","""374"
"2021","YEAR","STATE","36","4","TOTAL","""774"
"2020","YEAR","STATE","6","4","TOTAL","""354"
"2020","YEAR","STATE","36","4","TOTAL","""722"
"2019","YEAR","STATE","6","4","TOTAL","""373"
"2019","YEAR","STATE","36","4","TOTAL","""679"
"2019","YEAR","STATE","48","4","TOTAL","""37"
"2018","YEAR","STATE","6","4","TOTAL","""415"
"2018","YEAR","STATE","36","4","TOTAL","""691"
"2018","YEAR","STATE","41","4","TOTAL","""41"
"2018","YEAR","STATE","48","4","TOTAL","""31"
"2017","YEAR","STATE","6","4","TOTAL","""442"
"2017","YEAR","STATE","36","4","TOTAL","""706"
"2017","YEAR","STATE","41","4","TOTAL","""49"
"2017","YEAR","STATE","48","4","TOTAL","""34"
"2016","YEAR","STATE","6","4","TOTAL","""394"
"2016","YEAR","STATE","36","4","TOTAL","""676"
"2016","YEAR","STATE","41","4","TOTAL","""52"
"2016","YEAR","STATE","48","4","TOTAL","""50"
"2015","YEAR","STATE","6","4","TOTAL","""465"
"2015","YEAR","STATE","36","4","TOTAL","""669"
"2015","YEAR","STATE","41","4","TOTAL","""55"
"2015","YEAR","STATE","48","4","TOTAL","""94"
"2014","YEAR","STATE","6","4","TOTAL"," (D)"
"2014","YEAR","STATE","36","4","TOTAL","""663"
"2014","YEAR","STATE","41","4","TOTAL","""59"
"2014","YEAR","STATE","48","4","TOTAL"," (D)"
"2009","YEAR","STATE","6","4","TOTAL","""620"
"2009","YEAR","STATE","36","4","TOTAL","""251"
"2009","YEAR","STATE","47","4","TOTAL","""284"
"2009","YEAR","STATE","49","4","TOTAL","""244"
"2009","YEAR","STATE","55","4","TOTAL","""173"
"2008","YEAR","STATE","6","4","TOTAL","""581"
"2008","YEAR","STATE","36","4","TOTAL","""224"
"2008","YEAR","STATE","47","4","TOTAL","""258"
"2008","YEAR","STATE","49","4","TOTAL","""208"
"2008","YEAR","STATE","55","4","TOTAL","""162"
"2007","YEAR","STATE","6","4","TOTAL","""559"
"2007","YEAR","STATE","19","4","TOTAL","""21"
"2007","YEAR","STATE","36","4","TOTAL","""234"
"2007","YEAR","STATE","47","4","TOTAL","""193"
"2007","YEAR","STATE","49","4","TOTAL","""140"
"2007","YEAR","STATE","55","4","TOTAL","""147"
"2006","YEAR","STATE","6","4","TOTAL","""543"
"2006","YEAR","STATE","19","4","TOTAL","""25"
"2006","YEAR","STATE","36","4","TOTAL","""236"
"2006","YEAR","STATE","47","4","TOTAL","""155"
"2006","YEAR","STATE","49","4","TOTAL","""163"
"2006","YEAR","STATE","55","4","TOTAL","""144"
"2005","YEAR","STATE","6","4","TOTAL","""511"
"2005","YEAR","STATE","19","4","TOTAL","""17"
"2005","YEAR","STATE","36","4","TOTAL","""232"
"2005","YEAR","STATE","42","4","TOTAL","""931"
"2005","YEAR","STATE","47","4","TOTAL","""99"
"2005","YEAR","STATE","49","4","TOTAL","""171"
"2005","YEAR","STATE","55","4","TOTAL","""124"
"2004","YEAR","STATE","6","4","TOTAL","""454"
"2004","YEAR","STATE","19","4","TOTAL","""13"
"2004","YEAR","STATE","36","4","TOTAL","""227"
"2004","YEAR","STATE","42","4","TOTAL","""807"
"2004","YEAR","STATE","47","4","TOTAL","""38"
"2004","YEAR","STATE","49","4","TOTAL","""165"
"2004","YEAR","STATE","55","4","TOTAL","""98"
"2003","YEAR","STATE","6","4","TOTAL","""479"
"2003","YEAR","STATE","19","4","TOTAL","""13"
"2003","YEAR","STATE","36","4","TOTAL","""261"
"2003","YEAR","STATE","42","4","TOTAL","""687"
