Year,Period
2023,APR
2023,FEB
2023,JAN
2023,MAR
2023,AUG
2023,DEC
2023,JUL
2023,JUN
2023,MAY
2023,NOV
2023,OCT
2023,SEP
2023,YEAR
2022,APR
2022,FEB
2022,JAN
2022,MAR
2022,AUG
2022,DEC
2022,JUL
2022,JUN
2022,MAY
2022,NOV
2022,OCT
2022,SEP
2022,YEAR
2021,APR
2021,FEB
2021,JAN
2021,MAR
2021,AUG
2021,DEC
2021,JUL
2021,JUN
2021,MAY
2021,NOV
2021,OCT
2021,SEP
2021,YEAR
2020,APR
2020,FEB
2020,JAN
2020,MAR
2020,AUG
2020,DEC
2020,JUL
2020,JUN
2020,MAY
2020,NOV
2020,OCT
2020,SEP
2020,YEAR
2019,APR
2019,FEB
2019,JAN
2019,MAR
2019,AUG
2019,DEC
2019,JUL
2019,JUN
2019,MAY
2019,NOV
2019,OCT
2019,SEP
2019,YEAR
2018,APR
2018,FEB
2018,JAN
2018,MAR
2018,AUG
2018,DEC
2018,JUL
2018,JUN
2018,MAY
2018,NOV
2018,OCT
2018,SEP
2018,YEAR
2017,APR
2017,FEB
2017,JAN
2017,MAR
2017,AUG
2017,DEC
2017,JUL
2017,JUN
2017,MAY
2017,NOV
2017,OCT
2017,SEP
2017,YEAR
2016,APR
2016,FEB
2016,JAN
2016,MAR
2016,AUG
2016,DEC
2016,JUL
2016,JUN
2016,MAY
2016,NOV
2016,OCT
2016,SEP
2016,YEAR
2015,APR
2015,FEB
2015,JAN
2015,MAR
2015,AUG
2015,DEC
2015,JUL
2015,JUN
2015,MAY
2015,NOV
2015,OCT
2015,SEP
2015,YEAR
2014,APR
2014,FEB
2014,JAN
2014,MAR
2014,AUG
2014,DEC
2014,JUL
2014,JUN
2014,MAY
2014,NOV
2014,OCT
2014,SEP
2014,YEAR
2013,APR
2013,FEB
2013,JAN
2013,MAR
2013,AUG
2013,DEC
2013,JUL
2013,JUN
2013,MAY
2013,NOV
2013,OCT
2013,SEP
2013,YEAR
2012,APR
2012,FEB
2012,JAN
2012,MAR
2012,AUG
2012,DEC
2012,JUL
2012,JUN
2012,MAY
2012,NOV
2012,OCT
2012,SEP
2012,YEAR
2011,APR
2011,FEB
2011,JAN
2011,MAR
2011,AUG
2011,DEC
2011,JUL
2011,JUN
2011,MAY
2011,NOV
2011,OCT
2011,SEP
2011,YEAR
2010,APR
2010,FEB
2010,JAN
2010,MAR
2010,AUG
2010,DEC
2010,JUL
2010,JUN
2010,MAY
2010,NOV
2010,OCT
2010,SEP
2010,YEAR
2009,APR
2009,FEB
2009,JAN
2009,MAR
2009,AUG
2009,DEC
2009,JUL
2009,JUN
2009,MAY
2009,NOV
2009,OCT
2009,SEP
2009,YEAR
2008,APR
2008,FEB
2008,JAN
2008,MAR
2008,AUG
2008,DEC
2008,JUL
2008,JUN
2008,MAY
2008,NOV
2008,OCT
2008,SEP
2008,YEAR
2007,APR
2007,FEB
2007,JAN
2007,MAR
2007,AUG
2007,DEC
2007,JUL
2007,JUN
2007,MAY
2007,NOV
2007,OCT
2007,SEP
2007,YEAR
2006,APR
2006,FEB
2006,JAN
2006,MAR
2006,AUG
2006,DEC
2006,JUL
